claim_id,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud
618,487,54,FL,250/500,500,1853.8131722644296,0,MALE,PhD,Prof-specialty,Exercise,husband,36310.33206095512,23509.71152707523,Parked Car,Rear Collision,Trivial Damage,Police,WV,Riverwood,1,3,YES,1,0,YES,1189.7236297456366,25423.85600744448,17034.024013179867,43628.52601879771,Dodge,2010,0
619,236,22,TX,250/500,1000,609.9587271705798,0,FEMALE,JD,Adm-clerical,Reading,unmarried,19432.09733839072,87837.74196955995,Parked Car,Rear Collision,Total Loss,None,WV,Riverwood,23,4,NO,3,1,YES,5480.153402247352,17951.705692620053,11600.645047324673,45594.87029241624,Volkswagen,2007,0
620,372,18,IL,500/1000,2000,1841.2732379248569,0,FEMALE,Masters,Craft-repair,Chess,own-child,36508.48775068701,53141.52404080543,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,VA,Northbrook,3,4,NO,3,2,NO,13023.495389168367,27830.031277457285,10678.714902967848,23223.437331015462,Chevrolet,2022,0
621,384,57,IL,250/500,1000,842.2488706263587,0,FEMALE,PhD,Adm-clerical,Exercise,own-child,21455.420764279097,60349.92949717009,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Riverwood,17,3,NO,2,0,YES,104999.61577911479,23488.443682036508,4523.069206718131,39002.52014856571,Ford,2017,0
622,271,29,TX,500/1000,2000,1610.0267002373193,1000000,MALE,PhD,Exec-managerial,Movies,own-child,51944.77378123406,8994.38712548345,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbrook,10,3,Unknown,3,2,NO,73185.60963140165,17861.877206195968,10225.038823980343,38878.30907018328,Dodge,2021,1
623,188,73,FL,100/300,500,964.5998734190181,0,MALE,Masters,Prof-specialty,Camping,other-relative,66828.93861376992,30950.89587622316,Vehicle Theft,Side Collision,Minor Damage,Fire,PA,Northbrook,8,1,NO,0,0,Unknown,29347.699180512787,27184.979919399902,880.3242293500513,3344.492701513808,Ford,2009,0
624,486,53,CA,500/1000,1000,1788.1280384137758,0,MALE,PhD,Machine-op-inspct,Reading,other-relative,79955.7377199186,42673.53366720945,Single Vehicle Collision,Front Collision,Total Loss,Fire,OH,Northbrook,7,3,Unknown,3,2,NO,89093.61608412796,18010.75440721617,15072.057422273132,40838.922902226885,Toyota,2014,1
625,191,62,NY,250/500,1000,1550.6822981365367,0,MALE,College,Prof-specialty,Reading,other-relative,22756.203031986588,41390.95234360195,Parked Car,Rear Collision,Minor Damage,Fire,NY,Riverwood,20,4,YES,2,1,YES,81919.5166969459,15635.733820120206,26901.71225441208,43233.51732572029,Dodge,2007,1
626,446,40,FL,100/300,1000,1102.7201879025429,2000000,FEMALE,Masters,Exec-managerial,Reading,own-child,16695.40057044455,77828.43661784579,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Columbus,7,2,YES,1,3,Unknown,13775.495620594362,10687.750212333081,23859.923886459812,59953.90736326466,Dodge,2009,0
627,68,64,TX,500/1000,2000,614.4536812611193,0,FEMALE,Masters,Machine-op-inspct,Reading,not-in-family,1960.3420895220158,28232.239749000797,Parked Car,Side Collision,Minor Damage,Ambulance,OH,Columbus,4,3,Unknown,3,3,NO,96241.70952121336,26485.89991783336,855.6359161264293,46529.11691355221,Saab,1996,1
628,277,48,NY,100/300,2000,1599.0502758062105,1000000,FEMALE,College,Craft-repair,Chess,own-child,22808.776834724264,18210.9262343066,Parked Car,Unknown,Trivial Damage,None,OH,Riverwood,12,3,Unknown,1,3,YES,115189.65345826127,3681.815126184648,26437.809788046976,77565.29562053071,Mercedes,2018,0
629,348,28,IL,100/300,2000,1425.3271339477724,0,MALE,JD,Craft-repair,Chess,other-relative,2390.535249779624,58261.72514622532,Parked Car,Front Collision,Total Loss,Ambulance,WV,Northbrook,6,4,Unknown,1,1,Unknown,43339.88395250999,14205.081426523691,13569.7448664766,33143.80808923995,Chevrolet,2015,0
630,246,27,CA,250/500,500,504.3675767506831,0,FEMALE,JD,Prof-specialty,Chess,own-child,34547.420368905936,61501.48583670825,Multi-vehicle Collision,Unknown,Minor Damage,Police,OH,Riverwood,20,2,YES,0,2,Unknown,103279.58486814899,16122.399956250654,5726.743962464832,36933.61144938364,Audi,2020,1
631,450,20,IL,100/300,2000,514.129783958668,0,FEMALE,JD,Machine-op-inspct,Chess,other-relative,14569.308883003661,12158.330708624087,Parked Car,Side Collision,Total Loss,None,OH,Springfield,4,1,Unknown,0,2,NO,30358.067792813206,16642.473203093305,22572.358656461623,51476.2779776811,Dodge,2014,0
632,75,71,TX,250/500,500,1713.189459789041,0,FEMALE,PhD,Machine-op-inspct,Exercise,other-relative,57989.55982277842,246.85029859959906,Vehicle Theft,Side Collision,Minor Damage,Ambulance,PA,Columbus,12,2,YES,3,0,YES,113630.95764990585,19556.694914557294,9686.20650531139,18324.772933564025,Ford,2022,0
633,153,31,NY,100/300,1000,889.0996082027807,0,FEMALE,College,Adm-clerical,Chess,other-relative,38372.67594912731,91764.90800218588,Vehicle Theft,Rear Collision,Major Damage,Police,VA,Northbrook,19,4,YES,1,0,NO,136810.23828384667,15173.868727614468,7599.552694105585,35475.477893841526,Audi,2012,0
634,143,33,TX,500/1000,1000,1454.2005015920986,0,FEMALE,Masters,Exec-managerial,Exercise,not-in-family,9358.534107075955,7963.6997113334055,Multi-vehicle Collision,Unknown,Total Loss,Ambulance,NY,Riverwood,15,4,NO,2,2,Unknown,66559.13500834623,7704.544429197812,4839.552203446429,61786.45571062416,Chevrolet,2001,0
635,434,27,NY,100/300,500,1181.3216296478713,0,MALE,Masters,Craft-repair,Movies,unmarried,39986.646303659414,89786.69319420002,Vehicle Theft,Unknown,Total Loss,Police,WV,Northbrook,13,4,YES,1,1,Unknown,37071.000692636866,25708.331884184994,14598.657207006683,37121.60566080489,Chevrolet,2015,1
636,484,46,FL,500/1000,2000,1795.145021782651,0,FEMALE,Masters,Prof-specialty,Chess,own-child,20934.811596785163,39921.48743864111,Single Vehicle Collision,Unknown,Major Damage,Fire,PA,Springfield,4,4,Unknown,1,1,YES,60176.916978556124,19725.759835065848,2801.819986483358,81604.8242498952,BMW,2003,0
637,85,27,CA,500/1000,500,1875.441669653733,0,FEMALE,PhD,Machine-op-inspct,Movies,husband,68017.73513401055,65305.59079950671,Vehicle Theft,Front Collision,Total Loss,Ambulance,NY,Northbrook,22,2,Unknown,0,3,Unknown,37886.58216202968,25745.634411309184,23568.393873413595,55415.51683254582,Toyota,2001,0
638,184,29,FL,100/300,1000,1995.2115690182811,0,MALE,PhD,Craft-repair,Chess,other-relative,36443.62447707399,18561.469070639625,Parked Car,Side Collision,Major Damage,Fire,NY,Springfield,18,2,Unknown,0,3,YES,685.2866770731298,8281.304729411302,14120.23729999233,13923.720717930642,BMW,2003,0
639,284,47,FL,500/1000,1000,730.5262037108703,1000000,MALE,JD,Prof-specialty,Movies,not-in-family,14703.00092151461,82391.70278274891,Vehicle Theft,Unknown,Total Loss,Fire,PA,Columbus,3,2,YES,0,3,NO,97743.26346476455,19111.70684708465,13409.292504567606,43921.24625494359,Chevrolet,2023,1
640,461,58,TX,100/300,500,1794.446069713213,0,FEMALE,PhD,Craft-repair,Camping,husband,34960.17324042866,18019.33868998743,Single Vehicle Collision,Rear Collision,Total Loss,None,WV,Northbrook,23,3,YES,0,2,Unknown,6857.732973348438,21425.212352291852,55.61869444562939,68853.60922905937,Toyota,2006,0
641,219,18,CA,100/300,2000,899.0320650932026,5000000,FEMALE,JD,Prof-specialty,Movies,unmarried,22437.833393018547,38650.91483149067,Single Vehicle Collision,Side Collision,Total Loss,None,VA,Riverwood,21,4,NO,3,0,Unknown,31953.41566247604,11502.154811035154,24535.91580925684,57936.730361057605,Dodge,2004,0
642,68,22,NY,500/1000,2000,1386.2238123432617,0,FEMALE,JD,Craft-repair,Exercise,own-child,79577.90016383861,23802.57794808264,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,PA,Northbrook,23,3,NO,3,2,YES,108506.20864140826,24367.323546207037,14785.11177114761,79685.19527312358,Dodge,2004,0
643,46,37,NY,500/1000,500,1258.6592508038163,0,FEMALE,Masters,Adm-clerical,Reading,not-in-family,98336.75603649452,83750.59576869367,Parked Car,Side Collision,Minor Damage,Police,PA,Northbrook,10,3,Unknown,1,2,YES,100025.88958040962,75.26324526890171,13196.835594040436,67523.46239738323,Toyota,2007,0
644,496,25,IL,250/500,500,526.9821973585815,0,MALE,PhD,Exec-managerial,Movies,other-relative,2549.1389029767442,85833.58136488794,Single Vehicle Collision,Rear Collision,Minor Damage,None,PA,Springfield,1,3,YES,3,1,NO,11462.672350901765,17847.59250642665,22841.546558531714,5639.07815762881,BMW,1999,0
645,93,60,NY,500/1000,2000,1899.1569198591421,0,FEMALE,JD,Craft-repair,Reading,other-relative,69002.01373152819,37202.888937023126,Parked Car,Unknown,Major Damage,None,WV,Springfield,12,1,Unknown,2,1,YES,99178.18379132201,18407.054110563913,1886.956473022826,10214.88716651017,Mercedes,2021,1
646,237,29,TX,250/500,1000,617.4905827238276,0,MALE,College,Exec-managerial,Camping,other-relative,26395.78336234866,30737.847100427363,Single Vehicle Collision,Unknown,Major Damage,Fire,PA,Riverwood,15,3,Unknown,1,0,Unknown,139620.9459915795,16015.292791159063,11000.413682856111,58512.40801952174,Saab,2016,0
647,445,18,FL,500/1000,500,1532.3283791116037,0,FEMALE,College,Craft-repair,Camping,not-in-family,6640.864386929446,77356.53751951653,Parked Car,Rear Collision,Minor Damage,Fire,PA,Columbus,8,4,Unknown,1,0,NO,11638.11911821838,18901.454607583484,17272.018726612692,21532.875470223284,BMW,2002,0
648,499,74,FL,100/300,2000,1677.510254312393,0,FEMALE,PhD,Machine-op-inspct,Exercise,husband,1435.1309585293516,87851.19718112511,Parked Car,Front Collision,Minor Damage,Police,OH,Columbus,15,3,NO,2,2,NO,62645.390037657126,5016.805710698107,13817.326882175632,52946.357747267444,Audi,2004,0
649,452,71,FL,500/1000,2000,1692.9317735715263,0,FEMALE,Masters,Adm-clerical,Exercise,unmarried,88100.96692124273,62401.99941140638,Parked Car,Rear Collision,Trivial Damage,None,OH,Springfield,6,4,Unknown,1,2,NO,109550.36657206414,20543.444454071272,5449.166696339232,71320.36152924849,Dodge,2000,0
650,203,37,CA,100/300,1000,703.2417783932672,5000000,MALE,Masters,Adm-clerical,Movies,own-child,35360.65020777995,92740.36757291033,Vehicle Theft,Side Collision,Minor Damage,None,OH,Riverwood,15,1,NO,2,2,YES,100324.58897509804,10073.668885099958,8978.295230409354,51966.14974385397,Audi,2005,1
651,399,45,NY,100/300,1000,1171.3549257619582,2000000,FEMALE,JD,Exec-managerial,Chess,unmarried,99454.3892090604,38304.38128500836,Single Vehicle Collision,Rear Collision,Total Loss,Police,OH,Northbrook,12,2,YES,0,2,YES,34363.326099189995,13561.612277277534,9006.01672942899,37452.42244356541,BMW,1998,0
652,217,74,TX,100/300,1000,1744.1433056509698,0,FEMALE,PhD,Machine-op-inspct,Camping,other-relative,44237.71676302123,15188.640201736225,Parked Car,Rear Collision,Total Loss,None,PA,Riverwood,4,4,Unknown,0,1,Unknown,24878.5579857576,9993.28091988806,29759.12408295681,58199.70096903343,Chevrolet,1996,0
653,473,60,CA,250/500,1000,954.018815568132,0,MALE,College,Prof-specialty,Reading,unmarried,18759.77517713744,17964.298231704135,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,OH,Riverwood,14,3,NO,0,3,NO,117744.92710411933,14218.086104984563,9785.913564199464,13011.388040289388,Mercedes,2000,0
654,431,54,IL,500/1000,1000,1201.6230130619954,1000000,FEMALE,JD,Adm-clerical,Chess,husband,77714.35685225458,66983.195229722,Vehicle Theft,Unknown,Minor Damage,Ambulance,NY,Riverwood,6,4,YES,2,3,NO,143458.5759582001,18647.076795352434,6155.46187626897,65116.39879574503,Audi,2007,1
655,340,64,TX,100/300,500,909.1908390497687,5000000,MALE,JD,Machine-op-inspct,Camping,wife,92649.22163672987,40752.64230786165,Multi-vehicle Collision,Side Collision,Trivial Damage,Police,VA,Columbus,17,3,NO,3,3,NO,115253.72839765296,25150.304126866533,24679.114593124392,62762.55772271079,Ford,2023,1
656,38,54,TX,100/300,2000,1195.3271268279864,0,FEMALE,High School,Machine-op-inspct,Movies,wife,81562.1030775491,15631.459834181771,Single Vehicle Collision,Rear Collision,Total Loss,Fire,OH,Northbrook,19,2,Unknown,3,0,Unknown,144499.07008856363,14503.051729206629,12635.13765010826,46344.86250921079,Ford,2006,0
657,99,29,TX,250/500,500,1831.75688388932,0,MALE,PhD,Exec-managerial,Camping,own-child,74519.92340275277,29222.68549036079,Single Vehicle Collision,Side Collision,Minor Damage,Police,WV,Riverwood,22,4,YES,1,0,YES,90946.8159084879,9696.714828108097,13315.910834611523,25165.333201684192,Mercedes,2008,0
658,288,54,FL,500/1000,500,1182.6863465491542,2000000,MALE,JD,Machine-op-inspct,Exercise,own-child,33469.96945191685,53060.50720327485,Vehicle Theft,Rear Collision,Total Loss,Ambulance,VA,Columbus,1,3,YES,0,0,NO,139400.2796734416,14638.256367761529,16466.67190487212,71800.98441801452,Ford,2019,0
659,253,66,TX,500/1000,500,1333.8680256114806,1000000,MALE,College,Machine-op-inspct,Reading,unmarried,6449.03638950427,12144.526696213643,Parked Car,Unknown,Total Loss,None,NY,Columbus,7,4,YES,0,0,YES,103720.13633446058,20664.109922115465,17870.675917875345,45998.472260198745,BMW,2002,1
660,221,66,NY,250/500,500,1105.9644249546254,0,FEMALE,High School,Prof-specialty,Reading,own-child,20129.93485600898,344.2498944409733,Single Vehicle Collision,Rear Collision,Minor Damage,None,VA,Springfield,9,2,NO,1,1,YES,136378.27015506246,10401.021501773868,17716.668012310183,5420.003836766243,Mercedes,1997,0
661,356,73,TX,250/500,500,1190.1757748049881,0,MALE,College,Exec-managerial,Exercise,not-in-family,44681.0254247401,91729.80474956126,Multi-vehicle Collision,Rear Collision,Trivial Damage,Fire,VA,Northbrook,9,2,NO,0,2,YES,24657.55071145382,12428.462241702186,1034.991672331318,82683.26841047533,Saab,1999,0
662,22,61,FL,500/1000,1000,522.7612985696326,2000000,MALE,Masters,Exec-managerial,Chess,husband,95619.9870014404,30486.119077808573,Vehicle Theft,Unknown,Minor Damage,Fire,NY,Riverwood,10,2,NO,0,0,YES,122426.99975372036,16885.194510262092,24565.272986938584,69117.70764017159,BMW,2016,0
663,249,73,TX,250/500,1000,925.618264940684,1000000,FEMALE,High School,Machine-op-inspct,Exercise,other-relative,72285.41796753541,22149.814534298628,Parked Car,Side Collision,Major Damage,Ambulance,OH,Northbrook,20,4,YES,2,3,YES,29913.49724254115,8820.2779148205,5845.5845722451395,52673.98277667308,Audi,2001,0
664,9,45,IL,500/1000,2000,1154.8725826127366,1000000,MALE,High School,Prof-specialty,Reading,other-relative,82828.30451682473,69848.08097281888,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Springfield,20,4,Unknown,1,0,Unknown,4600.6507409206115,6272.539786333254,8770.263833515824,39370.614003732815,Audi,2012,0
665,245,64,IL,500/1000,500,1450.6954639890932,1000000,FEMALE,JD,Craft-repair,Movies,unmarried,27729.3896906476,85340.27221808783,Single Vehicle Collision,Front Collision,Minor Damage,Police,WV,Springfield,7,3,Unknown,2,3,YES,77879.12703942297,4211.768515897859,5202.885600620264,86394.982853948,Audi,2000,0
666,324,32,FL,100/300,2000,1175.0778958308383,0,FEMALE,Masters,Adm-clerical,Chess,other-relative,68382.30274535032,63227.876734352416,Vehicle Theft,Rear Collision,Minor Damage,Ambulance,NY,Riverwood,15,2,YES,0,2,NO,48078.641193995725,10578.299493782228,23012.299726076333,69774.34962645959,Ford,2012,0
667,99,23,NY,100/300,1000,1006.725564982346,1000000,MALE,JD,Exec-managerial,Camping,unmarried,86243.81433779965,25448.275409853162,Parked Car,Rear Collision,Total Loss,None,PA,Columbus,15,3,Unknown,0,1,NO,7007.93858730867,1450.2871931417117,17509.739778762585,48195.8767490866,Saab,2002,0
668,289,61,NY,500/1000,1000,1082.1481030162358,0,MALE,PhD,Prof-specialty,Movies,own-child,47941.15148965845,86163.66233543087,Parked Car,Unknown,Total Loss,None,PA,Springfield,16,4,YES,1,1,NO,147055.50461985983,17504.475801285047,22658.88458256154,58818.535177031365,Dodge,2001,1
669,179,37,CA,500/1000,1000,863.4399938006998,2000000,FEMALE,College,Prof-specialty,Chess,own-child,42989.18602307587,51042.71961272193,Vehicle Theft,Side Collision,Major Damage,None,VA,Columbus,5,1,Unknown,0,0,Unknown,100136.68127575393,5277.280979925735,19601.95216287901,25339.461115508944,Volkswagen,1996,0
670,222,67,FL,500/1000,500,1886.7414241610793,0,MALE,College,Machine-op-inspct,Reading,not-in-family,71940.45134317788,38119.08029602469,Single Vehicle Collision,Front Collision,Total Loss,Fire,OH,Springfield,17,2,Unknown,3,0,YES,135320.91989573202,11321.843769901285,3124.759032582056,17694.863253124746,Audi,1998,1
671,393,31,TX,500/1000,500,1282.614838686372,2000000,MALE,JD,Adm-clerical,Reading,not-in-family,55991.16862447463,60472.61196329739,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Northbrook,16,3,Unknown,2,3,NO,149862.84658785624,8076.684461951177,9044.993275530158,24671.427302636665,Chevrolet,2017,1
672,249,19,FL,500/1000,1000,520.1141808081846,0,MALE,College,Exec-managerial,Movies,husband,99317.10831940439,70061.22236383165,Parked Car,Unknown,Minor Damage,Fire,PA,Riverwood,11,2,NO,2,0,NO,59099.027132328265,18911.69899025248,15217.954787703638,26452.935325517137,Dodge,2003,0
673,146,26,CA,500/1000,2000,529.1693876293199,0,MALE,College,Craft-repair,Chess,other-relative,42510.28007285616,59382.98741151422,Parked Car,Unknown,Trivial Damage,Police,WV,Springfield,14,3,NO,3,1,NO,38583.18579575022,25510.36984400599,9148.35094294091,66602.4867124201,Mercedes,2010,0
674,441,54,FL,250/500,2000,1959.4424524280623,0,FEMALE,PhD,Machine-op-inspct,Camping,not-in-family,17594.32773249866,92024.54457228059,Multi-vehicle Collision,Front Collision,Trivial Damage,Ambulance,NY,Northbrook,6,3,YES,1,0,YES,27990.7167066809,18999.03128965035,6219.117132183494,12691.487560659005,Ford,2013,0
675,95,37,FL,500/1000,1000,832.1763370598676,0,FEMALE,Masters,Exec-managerial,Camping,husband,47193.50527863129,62801.78059990537,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Springfield,13,1,NO,1,3,NO,77520.47261480571,16275.147860201816,26094.35907199799,70005.08943441932,Mercedes,2004,0
676,256,43,CA,250/500,2000,1708.412433221472,1000000,MALE,High School,Exec-managerial,Exercise,wife,23520.499309773135,87858.07126255764,Multi-vehicle Collision,Side Collision,Minor Damage,None,NY,Riverwood,3,4,YES,0,2,YES,91109.07623657254,20072.512179661262,22433.51025646128,47153.23867117299,Audi,2020,0
677,324,46,NY,250/500,1000,587.4129523408617,1000000,FEMALE,JD,Prof-specialty,Movies,not-in-family,56125.3820794501,58695.84351538735,Parked Car,Side Collision,Major Damage,None,WV,Northbrook,16,2,NO,1,1,NO,71127.19903686247,899.7191328059951,10356.6018166253,34673.12208347448,Audi,2002,0
678,492,18,TX,500/1000,2000,1881.7441050418236,0,MALE,JD,Adm-clerical,Chess,husband,12579.699243794585,32967.95737301249,Parked Car,Rear Collision,Major Damage,Police,WV,Columbus,10,4,Unknown,3,1,NO,58394.176219429515,3685.339828863593,22950.370878866954,27105.610252472612,Dodge,2023,0
679,3,72,CA,500/1000,1000,1811.6255055000177,0,MALE,PhD,Craft-repair,Movies,unmarried,94997.6273549186,53229.681748319534,Parked Car,Side Collision,Total Loss,Police,NY,Springfield,5,3,NO,1,2,YES,25656.748237139687,2847.8170791313273,18826.15855335684,46236.73434875329,Chevrolet,2010,1
680,15,52,IL,250/500,2000,1356.639743651772,2000000,MALE,PhD,Adm-clerical,Camping,unmarried,85982.28815401609,8633.668965160257,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Springfield,9,4,NO,0,2,NO,66558.01375968829,2945.9149724635204,113.57200897190279,28644.909790441445,Audi,2019,1
681,279,23,NY,250/500,500,513.4979859248837,1000000,MALE,High School,Prof-specialty,Chess,husband,15556.53971088704,23017.46338957943,Vehicle Theft,Rear Collision,Major Damage,None,WV,Northbrook,14,1,NO,3,1,Unknown,13243.848993320209,7814.511455896441,11407.860780349049,38707.73411936593,Saab,2023,0
682,335,54,IL,500/1000,1000,886.7163110350064,1000000,FEMALE,Masters,Craft-repair,Reading,own-child,17239.29227470097,76623.16622037167,Parked Car,Unknown,Minor Damage,Fire,NY,Riverwood,5,4,YES,0,3,YES,129824.63995369499,15961.567811496156,8714.624975829915,66537.47454244323,Toyota,2002,1
683,246,70,NY,500/1000,1000,1110.2339710976976,1000000,MALE,JD,Craft-repair,Reading,wife,51243.86744880165,66147.5610684426,Single Vehicle Collision,Rear Collision,Total Loss,None,WV,Springfield,15,3,YES,2,3,NO,7511.946488644931,3440.447359702413,6537.258651176906,56377.26572114824,Mercedes,2014,0
684,257,22,TX,250/500,2000,1190.0961751213426,1000000,FEMALE,PhD,Machine-op-inspct,Chess,husband,77288.13870417251,16651.871053386134,Parked Car,Rear Collision,Minor Damage,None,VA,Northbrook,11,3,Unknown,2,0,Unknown,57406.586228867425,28053.487235681678,7547.681822125347,67343.61564493917,Audi,1998,0
685,496,50,TX,250/500,1000,946.5181378435581,0,MALE,JD,Craft-repair,Movies,not-in-family,21907.933566752945,43801.51762580812,Vehicle Theft,Unknown,Minor Damage,None,PA,Riverwood,18,1,Unknown,1,3,Unknown,15470.611421923792,25627.70407963246,28270.945397265677,64196.33469891668,Dodge,2021,0
686,475,66,FL,250/500,1000,549.421802368295,1000000,FEMALE,College,Exec-managerial,Movies,own-child,6097.171955953185,14199.220593024975,Parked Car,Side Collision,Trivial Damage,Fire,PA,Springfield,15,2,Unknown,3,1,YES,116359.5846703282,29149.33061498946,14589.512039746118,73375.01714973067,BMW,2017,0
687,383,68,IL,100/300,1000,1385.1911088898132,0,FEMALE,JD,Adm-clerical,Reading,husband,54553.42765826151,85581.7856373974,Single Vehicle Collision,Side Collision,Total Loss,None,WV,Northbrook,13,1,NO,3,0,NO,47254.17833477506,1275.0013526547177,25431.261546723585,18231.92737763349,Ford,2014,0
688,159,31,NY,250/500,500,1286.232001542134,2000000,FEMALE,Masters,Adm-clerical,Reading,other-relative,69159.711410201,10916.970175428885,Parked Car,Front Collision,Major Damage,Police,NY,Riverwood,5,2,Unknown,3,3,YES,17409.289091556944,25542.07341267949,6426.514564589476,89561.55765264979,Mercedes,2021,0
689,474,29,TX,100/300,500,924.5009531436166,1000000,FEMALE,Masters,Machine-op-inspct,Camping,not-in-family,24436.5491292717,65423.49967603346,Parked Car,Front Collision,Total Loss,Police,PA,Springfield,8,3,YES,0,2,Unknown,79957.94918024482,24112.022263244682,5232.113989378449,42871.763443453776,Audi,2007,0
690,339,59,CA,500/1000,2000,556.9639513544098,0,MALE,JD,Craft-repair,Chess,not-in-family,73976.77877506381,60700.00009781692,Parked Car,Rear Collision,Major Damage,Police,OH,Springfield,21,4,Unknown,3,3,Unknown,137483.41258081625,27063.175938073815,26663.687649417294,64669.14113347027,Dodge,2020,0
691,151,37,TX,500/1000,500,1991.8912808329103,0,FEMALE,College,Prof-specialty,Movies,unmarried,95064.37849446086,47277.66456468499,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Riverwood,0,3,Unknown,1,0,YES,136342.4082323209,15838.32502979426,14871.140573474035,61029.73965381881,BMW,2004,1
692,395,70,CA,250/500,2000,1222.979280239609,0,MALE,Masters,Exec-managerial,Camping,other-relative,13707.444268547286,27823.46226641418,Parked Car,Unknown,Minor Damage,None,WV,Riverwood,21,1,Unknown,2,2,YES,37822.830649352094,23636.6721232702,26854.563759372388,50996.892607070855,Audi,2017,0
693,177,67,NY,500/1000,500,1634.0063626611156,0,FEMALE,PhD,Machine-op-inspct,Movies,other-relative,51102.90653086953,40395.64999930294,Single Vehicle Collision,Front Collision,Major Damage,None,OH,Northbrook,7,1,Unknown,1,0,NO,108089.1215560549,1538.6063802795725,1890.8655861382472,89623.8780526675,Volkswagen,2019,0
694,162,41,TX,500/1000,2000,1178.4710525770033,0,FEMALE,JD,Craft-repair,Reading,not-in-family,5684.19506815826,80639.1300461047,Single Vehicle Collision,Front Collision,Minor Damage,None,WV,Springfield,6,4,Unknown,2,0,Unknown,5027.486829728194,2276.3336845196645,27493.065665289232,19636.6948823561,Ford,2022,0
695,379,60,TX,500/1000,500,564.7554362944122,2000000,FEMALE,College,Prof-specialty,Chess,wife,20666.100723071555,76155.08155461025,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Springfield,13,1,YES,2,2,YES,20211.843577261978,3555.9672284876474,12463.359490266692,38013.42516838463,BMW,2003,0
696,32,51,NY,500/1000,500,964.4011176282502,0,MALE,PhD,Craft-repair,Exercise,own-child,8981.935346107328,73880.91151611364,Parked Car,Unknown,Total Loss,Fire,VA,Northbrook,7,3,NO,1,0,Unknown,75171.11936191004,27443.665898946238,4661.114622655434,11582.977274366334,Dodge,2019,1
697,416,42,TX,100/300,2000,980.1652115088518,0,FEMALE,JD,Machine-op-inspct,Chess,unmarried,40400.662308020255,74982.35843610577,Vehicle Theft,Front Collision,Minor Damage,Ambulance,VA,Springfield,10,4,Unknown,2,1,YES,34699.08695600864,1835.080481653466,20501.480683055823,16447.008931231197,Ford,2020,0
698,444,67,CA,100/300,1000,1757.529356073524,2000000,MALE,College,Prof-specialty,Exercise,other-relative,82083.17903747575,14388.637435533914,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,23,2,NO,2,0,NO,119840.14716704063,3004.4858009733275,23907.08049882771,64195.469315551316,BMW,2006,1
699,178,46,TX,250/500,1000,1481.3449669998115,1000000,MALE,PhD,Prof-specialty,Camping,unmarried,57713.04505217814,9909.645036243164,Multi-vehicle Collision,Unknown,Major Damage,Ambulance,NY,Springfield,8,1,Unknown,0,1,Unknown,139695.28972187286,27912.31207888581,1421.2418274420113,535.3568208188756,Dodge,2020,1
700,426,74,IL,250/500,500,913.1448554592093,0,MALE,Masters,Prof-specialty,Exercise,not-in-family,22258.483716543076,86149.86228540221,Vehicle Theft,Unknown,Total Loss,Fire,NY,Columbus,18,2,NO,1,2,NO,1147.830814175944,3221.7774549683454,29615.879232560583,80094.87655813158,Mercedes,2009,1
701,100,56,FL,250/500,2000,1951.6099319886291,1000000,FEMALE,JD,Prof-specialty,Exercise,own-child,4011.0647095723098,83717.4570344444,Single Vehicle Collision,Rear Collision,Total Loss,None,OH,Riverwood,6,4,YES,1,0,NO,35320.916525346474,26092.688961761214,20910.80661948541,57023.28504585178,Audi,2016,0
702,267,48,CA,500/1000,1000,982.3127485968071,0,FEMALE,JD,Craft-repair,Camping,husband,55339.819528675296,68131.83040463633,Parked Car,Unknown,Total Loss,Ambulance,NY,Columbus,5,1,NO,1,3,Unknown,66213.22523839599,23678.12364186859,9642.05974973533,39737.36432909807,Toyota,1995,0
703,322,73,IL,500/1000,2000,1997.3510387430806,0,FEMALE,Masters,Prof-specialty,Chess,other-relative,13279.6714990571,60590.57453155382,Multi-vehicle Collision,Unknown,Total Loss,Ambulance,NY,Columbus,17,4,Unknown,2,0,YES,84680.35360868208,1208.4596559646277,4538.813870861718,29889.36354149861,Chevrolet,2006,1
